name,data_fraction,test_auroc,test_pr_auc,test_minrp,training_time
strats,0.5,0.8908189666729227,0.57055992677907,0.5380116959064327,4346.948722600937
strats,0.5,0.8915587119011659,0.565617341540354,0.5443037974683544,4872.253409147263
strats,0.5,0.8900409897926453,0.5616437417016108,0.5389863547758285,5446.326873779297
strats,0.5,0.8896608455252584,0.56216491153934,0.5263157894736842,4906.164170026779
strats,0.5,0.8911627412193813,0.5680071660956411,0.5350877192982456,5393.487507820129
strats,0.5,0.8906891280104944,0.5755859379546076,0.5409356725146199,3036.243138313293
strats,0.5,0.8903564629862992,0.5791458641278981,0.543859649122807,4504.552650213242
strats,0.5,0.890839447915084,0.5765403175793059,0.5409356725146199,3742.5597825050354
strats,0.5,0.8928975024304407,0.5760386501847988,0.5443037974683544,5084.864660024643
strats,0.5,0.8888635666258532,0.5735003967351864,0.5341130604288499,4143.232681751251
strats,0.4,0.8890666412451008,0.5666724611252744,0.5443037974683544,3745.0483083724976
strats,0.4,0.89083473102295,0.5693211594406433,0.5394352482960078,2910.0571463108063
strats,0.4,0.8876966323376222,0.5553341126848403,0.5364431486880467,3434.533344745636
strats,0.4,0.8894163739710969,0.5629027514234546,0.5351299326275265,3687.984105110169
strats,0.4,0.8906881349805713,0.5690945858049063,0.5321637426900585,3882.166901111603
strats,0.4,0.8884594034472042,0.5723767998328877,0.5393586005830904,2524.0289351940155
strats,0.4,0.890324686028764,0.5764527252053475,0.5384615384615384,3194.993196964264
strats,0.4,0.8871642441701695,0.5704548301896433,0.5300387596899225,3896.660770177841
strats,0.4,0.8901118673033972,0.5748388333441242,0.5458089668615984,4568.327836751938
strats,0.4,0.885189852425823,0.5611360979502737,0.5267770204479065,4263.631753444672
strats,0.3,0.887663489963943,0.5626131084923777,0.5331384015594542,2333.7640702724457
strats,0.3,0.8884936629795466,0.5633946041134441,0.5384615384615384,2605.441313028336
strats,0.3,0.8866980166213347,0.5524309267223013,0.5287244401168452,1766.4339151382446
strats,0.3,0.8879266428935302,0.5619119201277439,0.530214424951267,2977.4671156406403
strats,0.3,0.888946794946272,0.5678919061887169,0.5369649805447471,2824.3896477222443
strats,0.3,0.8888633183683724,0.5695996529415466,0.5398058252427185,2018.580072402954
strats,0.3,0.8876603867454338,0.5652989672767128,0.5329457364341085,2850.388424634933
strats,0.3,0.8852998304897921,0.5621770128780864,0.5272904483430799,3281.9900467395782
strats,0.3,0.8891817085874248,0.5661328110375625,0.5370370370370371,3219.5547709465027
strats,0.3,0.884681731427113,0.5574775558355064,0.5185185185185185,3343.1967499256134
strats,0.2,0.8851984173089089,0.5451427833742173,0.5263157894736842,1594.4794855117798
strats,0.2,0.8859929653760256,0.5522889834119581,0.5323671497584541,2324.149224281311
